CAT,Gefahrdungstatus,Statut de menace,Categoria di minaccia
RE,In der Schweiz ausgestorben,Eteint en Suisse,Estinto in Svizzera
CR,Vom Aussterben bedroht; CR(PE) Vermutlich ausgestorben («verschollen»),Au bord de l’extinction; CR(PE) Probablement éteint («disparu»),In pericolo d’estinzione
EN,Stark gefährdet,En danger,Fortemente minacciato
VU,Verletzlich,Vulnérable,Vulnerabile
NT,Potenziell gefährdet,Potentiellement menacé,Potenzialmente minacciato
LC,Nicht gefährdet,Non menacé,Non minacciato
DD,Ungenügende Datengrundlage,Données insuffisantes,Dati insufficienti
NA,Regional nicht anwendbar,Non applicable in Svizzera,Non applicabile in Svizzera
NE,Nicht beurteilt,Non évalué,Non valutato
